CRICOS Provider Code,Institution Name,CRICOS Course Code,Course Name,VET National Code,Dual Qualification,Field of Education 1 Broad Field,Field of Education 1 Narrow Field,Field of Education 1 Detailed Field,Field of Education 2 Broad Field,Field of Education 2 Narrow Field,Field of Education 2 Detailed Field,Course Level,Foundation Studies,Work Component,Work Component Hours/Week,Work Component Weeks,Work Component Total Hours,Course Language,Duration (Weeks),Tuition Fee,Non Tuition Fee,Estimated Total Course Cost,Expired
00002J,Macquarie University (Macquarie),001357G,Bachelor of Arts,,No,09 - Society and Culture,0903 - Studies in Human Society,"090300 - Studies in Human Society, n.f.d.",,,,Bachelor Degree,No,No,0.00,0,0,English,156,"$128,500.00","$1,119.00","$129,619.00",No
00002J,Macquarie University (Macquarie),001359E,Bachelor of Arts - Psychology,,No,09 - Society and Culture,0907 - Behavioural Science,090701 - Psychology,,,,Bachelor Degree,No,No,0.00,0,0,English,156,"$123,000.00","$1,119.00","$124,119.00",No
00002J,Macquarie University (Macquarie),001362K,Bachelor of Economics,,No,09 - Society and Culture,0919 - Economics and Econometrics,091901 - Economics,,,,Bachelor Degree,No,No,0.00,0,0,English,156,"$146,500.00","$1,119.00","$147,619.00",No
00002J,Macquarie University (Macquarie),001365G,Bachelor of Science,,No,01 - Natural and Physical Sciences,0199 - Other Natural and Physical Sciences,"019999 - Natural and Physical Sciences, n.e.c.",,,,Bachelor Degree,No,No,0.00,0,0,English,156,"$142,300.00","$1,119.00","$143,419.00",No
00002J,Macquarie University (Macquarie),001371J,Bachelor of Arts with the degree of Bachelor of Laws,,Yes,09 - Society and Culture,0900 - Society and Culture,"090000 - Society and Culture, n.f.d.",09 - Society and Culture,0909 - Law,"090900 - Law, n.f.d.",Bachelor Degree,No,No,0.00,0,0,English,260,"$259,500.00","$1,865.00","$261,365.00",No
00002J,Macquarie University (Macquarie),001396M,Master of Clinical Psychology,,No,09 - Society and Culture,0907 - Behavioural Science,090701 - Psychology,,,,Masters Degree (Coursework),No,Yes,14.00,75,"1,050",English,104,"$104,000.00",$746.00,"$104,746.00",No
00002J,Macquarie University (Macquarie),001403F,Doctor of Philosophy (Arts),,No,09 - Society and Culture,0900 - Society and Culture,"090000 - Society and Culture, n.f.d.",,,,Doctoral Degree,No,No,,,,English,156,"$131,800.00",$0.00,"$131,800.00",No
00002J,Macquarie University (Macquarie),001404E,Doctor of Philosophy (Science and Engineering),,No,01 - Natural and Physical Sciences,0100 - Natural and Physical Sciences,"010000 - Natural and Physical Sciences, n.f.d.",,,,Doctoral Degree,No,No,,,,English,156,"$168,600.00",$0.00,"$168,600.00",No
00002J,Macquarie University (Macquarie),008653J,Study Abroad,,No,12 - Mixed Field Programmes,1299 - Other Mixed Field Programmes,"129999 - Mixed Field Programmes, n.e.c.",,,,Non AQF Award,No,No,0.00,0,0,English,26,"$11,900.00",$0.00,"$11,900.00",No
00002J,Macquarie University (Macquarie),0100138,Graduate Certificate of Education,,No,07 - Education,0703 - Curriculum and Education Studies,"070300 - Curriculum and Education Studies, n.f.d",,,,Graduate Certificate,No,No,,,,English,26,"$19,400.00",$186.50,"$19,586.50",No
00002J,Macquarie University (Macquarie),0100139,Master of Business Analytics,,No,02 - Information Technology,0203 - Information Systems,020307 - Decision Support Systems,,,,Masters Degree (Coursework),No,No,,,,English,104,"$97,900.00",$746.00,"$98,646.00",No
00002J,Macquarie University (Macquarie),0100917,Bachelor of Combined Studies in Arts / Engineering (Honours),,No,12 - Mixed Field Programmes,1299 - Other Mixed Field Programmes,"129999 - Mixed Field Programmes, n.e.c.",,,,Bachelor Honours Degree,No,Yes,35.00,12,420,English,260,"$233,900.00","$1,825.00","$235,725.00",No
00002J,Macquarie University (Macquarie),0100918,Bachelor of Combined Studies in Science / Engineering (Honours),,No,12 - Mixed Field Programmes,1299 - Other Mixed Field Programmes,"129999 - Mixed Field Programmes, n.e.c.",,,,Bachelor Honours Degree,No,Yes,35.00,12,420,English,260,"$251,400.00","$1,865.00","$253,265.00",No
00002J,Macquarie University (Macquarie),0100919,Master of Combined Studies in Applied Economics / Management,,No,12 - Mixed Field Programmes,1299 - Other Mixed Field Programmes,"129999 - Mixed Field Programmes, n.e.c.",,,,Masters Degree (Coursework),No,No,,,,English,156,"$146,500.00","$1,119.00","$147,619.00",No
00002J,Macquarie University (Macquarie),0100920,Master of Combined Studies in Banking and Finance / Management,,No,12 - Mixed Field Programmes,1299 - Other Mixed Field Programmes,"129999 - Mixed Field Programmes, n.e.c.",,,,Masters Degree (Coursework),No,No,,,,English,182,"$172,900.00","$1,305.50","$174,205.50",No
00002J,Macquarie University (Macquarie),0100921,Master of Combined Studies in Business Analytics / Management,,No,12 - Mixed Field Programmes,1299 - Other Mixed Field Programmes,"129999 - Mixed Field Programmes, n.e.c.",,,,Masters Degree (Coursework),No,No,,,,English,156,"$148,300.00","$1,119.00","$149,419.00",No
00002J,Macquarie University (Macquarie),0100922,Master of Combined Studies in Commerce / Management,,No,12 - Mixed Field Programmes,1299 - Other Mixed Field Programmes,"129999 - Mixed Field Programmes, n.e.c.",,,,Masters Degree (Coursework),No,No,,,,English,156,"$146,500.00","$1,119.00","$147,619.00",No
00002J,Macquarie University (Macquarie),0100923,Master of Combined Studies in Creative Industries / Management,,No,12 - Mixed Field Programmes,1299 - Other Mixed Field Programmes,"129999 - Mixed Field Programmes, n.e.c.",,,,Masters Degree (Coursework),No,No,,,,English,156,"$137,700.00","$1,119.00","$138,819.00",No
00002J,Macquarie University (Macquarie),0100924,Master of Combined Studies in Cybergovernance and Management / Management,,No,12 - Mixed Field Programmes,1299 - Other Mixed Field Programmes,"129999 - Mixed Field Programmes, n.e.c.",,,,Masters Degree (Coursework),No,No,,,,English,130,"$116,400.00",$912.50,"$117,312.50",No
00002J,Macquarie University (Macquarie),0100925,Master of Combined Studies in Finance / Management,,No,12 - Mixed Field Programmes,1299 - Other Mixed Field Programmes,"129999 - Mixed Field Programmes, n.e.c.",,,,Masters Degree (Coursework),No,No,,,,English,130,"$121,100.00",$932.50,"$122,032.50",No
00002J,Macquarie University (Macquarie),0100926,Master of Combined Studies in International Business / Management,,No,12 - Mixed Field Programmes,1299 - Other Mixed Field Programmes,"129999 - Mixed Field Programmes, n.e.c.",,,,Masters Degree (Coursework),No,No,,,,English,156,"$146,500.00","$1,119.00","$147,619.00",No
00002J,Macquarie University (Macquarie),0100927,Master of Combined Studies in International Relations / Management,,No,12 - Mixed Field Programmes,1299 - Other Mixed Field Programmes,"129999 - Mixed Field Programmes, n.e.c.",,,,Masters Degree (Coursework),No,No,,,,English,130,"$114,600.00",$912.50,"$115,512.50",No
00002J,Macquarie University (Macquarie),0100928,Master of Combined Studies in International Trade and Commerce Law / Management,,No,12 - Mixed Field Programmes,1299 - Other Mixed Field Programmes,"129999 - Mixed Field Programmes, n.e.c.",,,,Masters Degree (Coursework),No,No,,,,English,130,"$116,400.00",$912.50,"$117,312.50",No
00002J,Macquarie University (Macquarie),0100929,Master of Combined Studies in Management / Marketing,,No,12 - Mixed Field Programmes,1299 - Other Mixed Field Programmes,"129999 - Mixed Field Programmes, n.e.c.",,,,Masters Degree (Coursework),No,No,,,,English,130,"$121,100.00",$932.50,"$122,032.50",No
